concept,vec_type,layer,coeff_first,coeff_second,logit_first,logit_second,logit_diff,expected_stronger,is_correct,region_first_tokens,region_second_tokens
Dust,avg,11,2.0,14.0,15.0625,15.1875,-0.125,SECOND,True,"(62, 75)","(75, 88)"
Dust,avg,11,14.0,2.0,14.75,16.875,-2.125,FIRST,False,"(62, 75)","(75, 88)"
Dust,avg,11,1.0,9.0,14.75,16.125,-1.375,SECOND,True,"(62, 75)","(75, 88)"
Dust,avg,11,9.0,1.0,14.625,17.375,-2.75,FIRST,False,"(62, 75)","(75, 88)"
Dust,avg,11,8.0,16.0,14.9375,14.8125,0.125,SECOND,False,"(62, 75)","(75, 88)"
Dust,avg,11,16.0,8.0,14.3125,15.125,-0.8125,FIRST,False,"(62, 75)","(75, 88)"
Dust,avg,14,2.0,4.0,13.0625,14.0625,-1.0,SECOND,True,"(62, 75)","(75, 88)"
Dust,avg,14,4.0,2.0,13.0,14.625,-1.625,FIRST,False,"(62, 75)","(75, 88)"
Dust,avg,14,3.0,7.0,12.75,13.5,-0.75,SECOND,True,"(62, 75)","(75, 88)"
Dust,avg,14,7.0,3.0,12.625,14.4375,-1.8125,FIRST,False,"(62, 75)","(75, 88)"
Dust,avg,14,4.0,8.0,12.75,13.5,-0.75,SECOND,True,"(62, 75)","(75, 88)"
Dust,avg,14,8.0,4.0,12.5625,14.25,-1.6875,FIRST,False,"(62, 75)","(75, 88)"
Dust,avg,14,5.0,10.0,12.6875,13.4375,-0.75,SECOND,True,"(62, 75)","(75, 88)"
Dust,avg,14,10.0,5.0,12.6875,14.0625,-1.375,FIRST,False,"(62, 75)","(75, 88)"
Dust,avg,14,6.0,12.0,12.6875,13.5625,-0.875,SECOND,True,"(62, 75)","(75, 88)"
Dust,avg,14,12.0,6.0,12.75,13.875,-1.125,FIRST,False,"(62, 75)","(75, 88)"
Dust,avg,14,4.0,16.0,12.6875,12.875,-0.1875,SECOND,True,"(62, 75)","(75, 88)"
Dust,avg,14,16.0,4.0,12.75,13.8125,-1.0625,FIRST,False,"(62, 75)","(75, 88)"
Dust,avg,14,2.0,14.0,12.75,13.1875,-0.4375,SECOND,True,"(62, 75)","(75, 88)"
Dust,avg,14,14.0,2.0,12.8125,14.5625,-1.75,FIRST,False,"(62, 75)","(75, 88)"
Dust,avg,14,1.0,9.0,12.6875,13.1875,-0.5,SECOND,True,"(62, 75)","(75, 88)"
Dust,avg,14,9.0,1.0,12.5,14.6875,-2.1875,FIRST,False,"(62, 75)","(75, 88)"
Dust,avg,14,8.0,16.0,12.625,12.875,-0.25,SECOND,True,"(62, 75)","(75, 88)"
Dust,avg,14,16.0,8.0,12.6875,13.125,-0.4375,FIRST,False,"(62, 75)","(75, 88)"
Dust,last,14,2.0,4.0,13.625,15.0625,-1.4375,SECOND,True,"(62, 75)","(75, 88)"
Dust,last,14,4.0,2.0,13.75,15.0625,-1.3125,FIRST,False,"(62, 75)","(75, 88)"
Dust,last,14,3.0,7.0,13.6875,15.125,-1.4375,SECOND,True,"(62, 75)","(75, 88)"
Dust,last,14,7.0,3.0,13.9375,15.4375,-1.5,FIRST,False,"(62, 75)","(75, 88)"
Dust,last,14,4.0,8.0,13.8125,15.125,-1.3125,SECOND,True,"(62, 75)","(75, 88)"
Dust,last,14,8.0,4.0,14.0,15.5625,-1.5625,FIRST,False,"(62, 75)","(75, 88)"
Dust,last,14,5.0,10.0,13.875,15.1875,-1.3125,SECOND,True,"(62, 75)","(75, 88)"
Dust,last,14,10.0,5.0,14.0625,15.6875,-1.625,FIRST,False,"(62, 75)","(75, 88)"
Dust,last,14,6.0,12.0,13.9375,15.1875,-1.25,SECOND,True,"(62, 75)","(75, 88)"
Dust,last,14,12.0,6.0,14.0625,15.875,-1.8125,FIRST,False,"(62, 75)","(75, 88)"
Dust,last,14,4.0,16.0,13.8125,15.125,-1.3125,SECOND,True,"(62, 75)","(75, 88)"
Dust,last,14,16.0,4.0,14.25,16.125,-1.875,FIRST,False,"(62, 75)","(75, 88)"
Dust,last,14,2.0,14.0,13.625,14.875,-1.25,SECOND,True,"(62, 75)","(75, 88)"
Dust,last,14,14.0,2.0,14.1875,16.0,-1.8125,FIRST,False,"(62, 75)","(75, 88)"
Dust,last,14,1.0,9.0,13.5625,15.0,-1.4375,SECOND,True,"(62, 75)","(75, 88)"
Dust,last,14,9.0,1.0,14.0,15.625,-1.625,FIRST,False,"(62, 75)","(75, 88)"
Dust,last,14,8.0,16.0,14.0625,15.4375,-1.375,SECOND,True,"(62, 75)","(75, 88)"
Dust,last,14,16.0,8.0,14.25,16.0,-1.75,FIRST,False,"(62, 75)","(75, 88)"
Dust,last,17,2.0,4.0,13.3125,14.8125,-1.5,SECOND,True,"(62, 75)","(75, 88)"
Dust,last,17,4.0,2.0,13.375,14.875,-1.5,FIRST,False,"(62, 75)","(75, 88)"
Dust,last,17,3.0,7.0,13.4375,14.875,-1.4375,SECOND,True,"(62, 75)","(75, 88)"
Dust,last,17,7.0,3.0,13.5,14.9375,-1.4375,FIRST,False,"(62, 75)","(75, 88)"
Dust,last,17,4.0,8.0,13.4375,14.8125,-1.375,SECOND,True,"(62, 75)","(75, 88)"
Dust,last,17,8.0,4.0,13.5625,15.0625,-1.5,FIRST,False,"(62, 75)","(75, 88)"
Dust,last,17,5.0,10.0,13.5,14.875,-1.375,SECOND,True,"(62, 75)","(75, 88)"
Dust,last,17,10.0,5.0,13.5625,15.125,-1.5625,FIRST,False,"(62, 75)","(75, 88)"
Dust,last,17,6.0,12.0,13.5625,14.9375,-1.375,SECOND,True,"(62, 75)","(75, 88)"
Dust,last,17,12.0,6.0,13.625,15.1875,-1.5625,FIRST,False,"(62, 75)","(75, 88)"
Dust,last,17,4.0,16.0,13.5625,14.8125,-1.25,SECOND,True,"(62, 75)","(75, 88)"
Dust,last,17,16.0,4.0,13.625,15.375,-1.75,FIRST,False,"(62, 75)","(75, 88)"
Dust,last,17,2.0,14.0,13.4375,14.75,-1.3125,SECOND,True,"(62, 75)","(75, 88)"
Dust,last,17,14.0,2.0,13.625,15.3125,-1.6875,FIRST,False,"(62, 75)","(75, 88)"
Dust,last,17,1.0,9.0,13.375,14.8125,-1.4375,SECOND,True,"(62, 75)","(75, 88)"
Dust,last,17,9.0,1.0,13.5,15.0,-1.5,FIRST,False,"(62, 75)","(75, 88)"
Dust,last,17,8.0,16.0,13.75,15.0,-1.25,SECOND,True,"(62, 75)","(75, 88)"
Dust,last,17,16.0,8.0,13.6875,15.375,-1.6875,FIRST,False,"(62, 75)","(75, 88)"
Dust,avg,17,2.0,4.0,13.3125,14.6875,-1.375,SECOND,True,"(62, 75)","(75, 88)"
Dust,avg,17,4.0,2.0,13.3125,14.875,-1.5625,FIRST,False,"(62, 75)","(75, 88)"
Dust,avg,17,3.0,7.0,13.375,14.5,-1.125,SECOND,True,"(62, 75)","(75, 88)"
Dust,avg,17,7.0,3.0,13.25,14.875,-1.625,FIRST,False,"(62, 75)","(75, 88)"
Dust,avg,17,4.0,8.0,13.4375,14.5625,-1.125,SECOND,True,"(62, 75)","(75, 88)"
Dust,avg,17,8.0,4.0,13.3125,14.9375,-1.625,FIRST,False,"(62, 75)","(75, 88)"
Dust,avg,17,5.0,10.0,13.5,14.5,-1.0,SECOND,True,"(62, 75)","(75, 88)"
Dust,avg,17,10.0,5.0,13.25,14.9375,-1.6875,FIRST,False,"(62, 75)","(75, 88)"
Dust,avg,17,6.0,12.0,13.5,14.4375,-0.9375,SECOND,True,"(62, 75)","(75, 88)"
Dust,avg,17,12.0,6.0,13.25,14.875,-1.625,FIRST,False,"(62, 75)","(75, 88)"
Dust,avg,17,4.0,16.0,13.375,14.0,-0.625,SECOND,True,"(62, 75)","(75, 88)"
Dust,avg,17,16.0,4.0,13.1875,14.875,-1.6875,FIRST,False,"(62, 75)","(75, 88)"
Dust,avg,17,2.0,14.0,13.3125,14.0625,-0.75,SECOND,True,"(62, 75)","(75, 88)"
Dust,avg,17,14.0,2.0,13.125,15.0625,-1.9375,FIRST,False,"(62, 75)","(75, 88)"
Dust,avg,17,1.0,9.0,13.375,14.3125,-0.9375,SECOND,True,"(62, 75)","(75, 88)"
Dust,avg,17,9.0,1.0,13.1875,15.0625,-1.875,FIRST,False,"(62, 75)","(75, 88)"
Dust,avg,17,8.0,16.0,13.5,14.25,-0.75,SECOND,True,"(62, 75)","(75, 88)"
Dust,avg,17,16.0,8.0,13.25,14.625,-1.375,FIRST,False,"(62, 75)","(75, 88)"
Dust,avg,20,2.0,4.0,13.375,14.6875,-1.3125,SECOND,True,"(62, 75)","(75, 88)"
Dust,avg,20,4.0,2.0,13.3125,14.75,-1.4375,FIRST,False,"(62, 75)","(75, 88)"
Dust,avg,20,3.0,7.0,13.4375,14.625,-1.1875,SECOND,True,"(62, 75)","(75, 88)"
Dust,avg,20,7.0,3.0,13.375,14.75,-1.375,FIRST,False,"(62, 75)","(75, 88)"
Dust,avg,20,4.0,8.0,13.4375,14.625,-1.1875,SECOND,True,"(62, 75)","(75, 88)"
Dust,avg,20,8.0,4.0,13.4375,14.75,-1.3125,FIRST,False,"(62, 75)","(75, 88)"
Dust,avg,20,5.0,10.0,13.5,14.5,-1.0,SECOND,True,"(62, 75)","(75, 88)"
Dust,avg,20,10.0,5.0,13.4375,14.6875,-1.25,FIRST,False,"(62, 75)","(75, 88)"
Dust,avg,20,6.0,12.0,13.5,14.4375,-0.9375,SECOND,True,"(62, 75)","(75, 88)"
Dust,avg,20,12.0,6.0,13.5,14.625,-1.125,FIRST,False,"(62, 75)","(75, 88)"
Dust,avg,20,4.0,16.0,13.5625,14.25,-0.6875,SECOND,True,"(62, 75)","(75, 88)"
Dust,avg,20,16.0,4.0,13.625,14.625,-1.0,FIRST,False,"(62, 75)","(75, 88)"
Dust,avg,20,2.0,14.0,13.5625,14.375,-0.8125,SECOND,True,"(62, 75)","(75, 88)"
Dust,avg,20,14.0,2.0,13.5625,14.75,-1.1875,FIRST,False,"(62, 75)","(75, 88)"
Dust,avg,20,1.0,9.0,13.5,14.6875,-1.1875,SECOND,True,"(62, 75)","(75, 88)"
Dust,avg,20,9.0,1.0,13.4375,14.8125,-1.375,FIRST,False,"(62, 75)","(75, 88)"
Dust,avg,20,8.0,16.0,13.5625,14.125,-0.5625,SECOND,True,"(62, 75)","(75, 88)"
Dust,avg,20,16.0,8.0,13.6875,14.5,-0.8125,FIRST,False,"(62, 75)","(75, 88)"
Dust,last,20,2.0,4.0,13.3125,14.8125,-1.5,SECOND,True,"(62, 75)","(75, 88)"
Dust,last,20,4.0,2.0,13.3125,14.8125,-1.5,FIRST,False,"(62, 75)","(75, 88)"
Dust,last,20,3.0,7.0,13.3125,14.8125,-1.5,SECOND,True,"(62, 75)","(75, 88)"
Dust,last,20,7.0,3.0,13.3125,14.875,-1.5625,FIRST,False,"(62, 75)","(75, 88)"
Dust,last,20,4.0,8.0,13.3125,14.8125,-1.5,SECOND,True,"(62, 75)","(75, 88)"
Dust,last,20,8.0,4.0,13.3125,14.9375,-1.625,FIRST,False,"(62, 75)","(75, 88)"
Dust,last,20,5.0,10.0,13.3125,14.75,-1.4375,SECOND,True,"(62, 75)","(75, 88)"
Dust,last,20,10.0,5.0,13.25,14.9375,-1.6875,FIRST,False,"(62, 75)","(75, 88)"
Dust,last,20,6.0,12.0,13.3125,14.75,-1.4375,SECOND,True,"(62, 75)","(75, 88)"
Dust,last,20,12.0,6.0,13.3125,15.0,-1.6875,FIRST,False,"(62, 75)","(75, 88)"
Dust,last,20,4.0,16.0,13.3125,14.625,-1.3125,SECOND,True,"(62, 75)","(75, 88)"
Dust,last,20,16.0,4.0,13.3125,15.1875,-1.875,FIRST,False,"(62, 75)","(75, 88)"
Dust,last,20,2.0,14.0,13.375,14.6875,-1.3125,SECOND,True,"(62, 75)","(75, 88)"
Dust,last,20,14.0,2.0,13.3125,15.0625,-1.75,FIRST,False,"(62, 75)","(75, 88)"
Dust,last,20,1.0,9.0,13.375,14.75,-1.375,SECOND,True,"(62, 75)","(75, 88)"
Dust,last,20,9.0,1.0,13.25,14.9375,-1.6875,FIRST,False,"(62, 75)","(75, 88)"
Dust,last,20,8.0,16.0,13.375,14.6875,-1.3125,SECOND,True,"(62, 75)","(75, 88)"
Dust,last,20,16.0,8.0,13.375,15.125,-1.75,FIRST,False,"(62, 75)","(75, 88)"
Dust,last,23,2.0,4.0,13.25,14.6875,-1.4375,SECOND,True,"(62, 75)","(75, 88)"
Dust,last,23,4.0,2.0,13.25,14.75,-1.5,FIRST,False,"(62, 75)","(75, 88)"
Dust,last,23,3.0,7.0,13.25,14.6875,-1.4375,SECOND,True,"(62, 75)","(75, 88)"
Dust,last,23,7.0,3.0,13.1875,14.6875,-1.5,FIRST,False,"(62, 75)","(75, 88)"
Dust,last,23,4.0,8.0,13.1875,14.6875,-1.5,SECOND,True,"(62, 75)","(75, 88)"
Dust,last,23,8.0,4.0,13.125,14.6875,-1.5625,FIRST,False,"(62, 75)","(75, 88)"
Dust,last,23,5.0,10.0,13.1875,14.625,-1.4375,SECOND,True,"(62, 75)","(75, 88)"
Dust,last,23,10.0,5.0,13.125,14.6875,-1.5625,FIRST,False,"(62, 75)","(75, 88)"
Dust,last,23,6.0,12.0,13.1875,14.625,-1.4375,SECOND,True,"(62, 75)","(75, 88)"
Dust,last,23,12.0,6.0,13.125,14.6875,-1.5625,FIRST,False,"(62, 75)","(75, 88)"
Dust,last,23,4.0,16.0,13.1875,14.5625,-1.375,SECOND,True,"(62, 75)","(75, 88)"
Dust,last,23,16.0,4.0,13.125,14.75,-1.625,FIRST,False,"(62, 75)","(75, 88)"
Dust,last,23,2.0,14.0,13.3125,14.6875,-1.375,SECOND,True,"(62, 75)","(75, 88)"
Dust,last,23,14.0,2.0,13.0625,14.6875,-1.625,FIRST,False,"(62, 75)","(75, 88)"
Dust,last,23,1.0,9.0,13.25,14.6875,-1.4375,SECOND,True,"(62, 75)","(75, 88)"
Dust,last,23,9.0,1.0,13.1875,14.6875,-1.5,FIRST,False,"(62, 75)","(75, 88)"
Dust,last,23,8.0,16.0,13.125,14.5,-1.375,SECOND,True,"(62, 75)","(75, 88)"
Dust,last,23,16.0,8.0,13.125,14.75,-1.625,FIRST,False,"(62, 75)","(75, 88)"
Dust,avg,23,2.0,4.0,13.25,14.5625,-1.3125,SECOND,True,"(62, 75)","(75, 88)"
Dust,avg,23,4.0,2.0,13.25,14.625,-1.375,FIRST,False,"(62, 75)","(75, 88)"
Dust,avg,23,3.0,7.0,13.25,14.4375,-1.1875,SECOND,True,"(62, 75)","(75, 88)"
Dust,avg,23,7.0,3.0,13.1875,14.5,-1.3125,FIRST,False,"(62, 75)","(75, 88)"
Dust,avg,23,4.0,8.0,13.1875,14.375,-1.1875,SECOND,True,"(62, 75)","(75, 88)"
Dust,avg,23,8.0,4.0,13.125,14.5,-1.375,FIRST,False,"(62, 75)","(75, 88)"
Dust,avg,23,5.0,10.0,13.1875,14.375,-1.1875,SECOND,True,"(62, 75)","(75, 88)"
Dust,avg,23,10.0,5.0,13.125,14.4375,-1.3125,FIRST,False,"(62, 75)","(75, 88)"
Dust,avg,23,6.0,12.0,13.1875,14.3125,-1.125,SECOND,True,"(62, 75)","(75, 88)"
Dust,avg,23,12.0,6.0,13.125,14.4375,-1.3125,FIRST,False,"(62, 75)","(75, 88)"
Dust,avg,23,4.0,16.0,13.25,14.25,-1.0,SECOND,True,"(62, 75)","(75, 88)"
Dust,avg,23,16.0,4.0,13.1875,14.5625,-1.375,FIRST,False,"(62, 75)","(75, 88)"
Dust,avg,23,2.0,14.0,13.25,14.375,-1.125,SECOND,True,"(62, 75)","(75, 88)"
Dust,avg,23,14.0,2.0,13.125,14.625,-1.5,FIRST,False,"(62, 75)","(75, 88)"
Dust,avg,23,1.0,9.0,13.25,14.4375,-1.1875,SECOND,True,"(62, 75)","(75, 88)"
Dust,avg,23,9.0,1.0,13.125,14.5625,-1.4375,FIRST,False,"(62, 75)","(75, 88)"
Dust,avg,23,8.0,16.0,13.3125,14.25,-0.9375,SECOND,True,"(62, 75)","(75, 88)"
Dust,avg,23,16.0,8.0,13.1875,14.5,-1.3125,FIRST,False,"(62, 75)","(75, 88)"
Dust,avg,26,2.0,4.0,13.1875,14.625,-1.4375,SECOND,True,"(62, 75)","(75, 88)"
Dust,avg,26,4.0,2.0,13.1875,14.6875,-1.5,FIRST,False,"(62, 75)","(75, 88)"
Dust,avg,26,3.0,7.0,13.125,14.5625,-1.4375,SECOND,True,"(62, 75)","(75, 88)"
Dust,avg,26,7.0,3.0,13.0625,14.5625,-1.5,FIRST,False,"(62, 75)","(75, 88)"
Dust,avg,26,4.0,8.0,13.0625,14.5,-1.4375,SECOND,True,"(62, 75)","(75, 88)"
Dust,avg,26,8.0,4.0,13.0625,14.5,-1.4375,FIRST,False,"(62, 75)","(75, 88)"
